Division,Section,Department,GRP_REM,PARTYNAME,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,DESC1,DESC2,DESC3,MRP,RATE,ICODE,GENERATED,STOCKINDATE
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Usha Knit Fab. (5043) : SU00014,H WLS,MB,CASUAL,NA,F/S,OLD AGE,,,,925,625,M183362,2013-10-25 12:56:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Renu Hosiery Factory(61R-0039) : SS00154,H CAP,MB,MENS,NA,NA,OLD AGE,,,,79,51.04,M183364,2013-10-25 14:00:00,2013-10-28 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Renu Hosiery Factory(61R-0039) : SS00154,H CAP,MB,MENS,NA,NA,OLD AGE,,,,75,47.52,M183365,2013-10-25 14:00:00,2013-10-28 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Jorden -4U. (5097) : SJ00087,H WLS,HONEY BELL,CASUAL,NA,F/S,OLD AGE,,,,750,475,M183929,2013-10-29 16:29:00,2013-12-21 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Jorden -4U. (5097) : SJ00087,H WLS,HONEY BELL,CASUAL,NA,F/S,OLD AGE,,,,595,370,M183931,2013-10-29 16:30:00,2013-10-29 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,S. N. S. Garments. (3191) : SS00321,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1645,950,M183935,2013-10-29 16:49:00,2013-10-30 00:00:00
Winter Garments,Winterwear Girls,Pullovers [WG],Girls,T. G. Knit Wear. (6036) : ST00057,H WGP,MB,HOOD,NA,F/S,OLD AGE,,,,450,255,M183939,2013-10-29 17:23:00,2013-10-30 00:00:00
Winter Garments,Winterwear Girls,Pullovers [WG],Girls,T. G. Knit Wear. (6036) : ST00057,H WGP,MB,COAT,NA,F/S,OLD AGE,,,,325,190,M183943,2013-10-29 17:24:00,2014-01-29 00:00:00
Winter Garments,Winterwear Girls,Pullovers [WG],Girls,T. G. Knit Wear. (6036) : ST00057,H WGP,MB,COAT,NA,F/S,OLD AGE,,,,350,206,M183945,2013-10-29 17:24:00,2014-01-29 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Sri Vaigai Garments. (6032) : SS00267,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,745,440.75,M182310,2013-10-11 09:29:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Chirag International. (5106) : SC00033,H WMS,MB,NA,NA,F/S,OLD AGE,,,,945,545,M182415,2013-10-16 15:55:00,2014-01-29 00:00:00
Winter Garments,Winterwear Girls,Sweaters [WG],Girls,Usha Knit Fab. (5043) : SU00014,H WGS,KIDS CREW,,NA,"30-34""",OLD AGE,,,,1225,720,M183182,2013-10-24 11:17:00,2013-10-24 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WMS,MB,COLLAR,NA,F/S,OLD AGE,,,,895,523,M183213,2013-10-24 13:02:00,2014-01-30 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WMS,MB,COLLAR,NA,F/S,OLD AGE,,,,1095,636.5,M183216,2013-10-24 13:03:00,2013-10-25 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WMS,MB,COLLAR,NA,F/S,OLD AGE,,,,975,560.5,M183219,2013-10-24 13:04:00,2014-01-15 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Portmor Hosiery Mills(61P-0046) : SP00078,H WMS,MB,ROUND NECK,NA,F/S,OLD AGE,,,,695,395,M183221,2013-10-24 14:15:00,2014-01-30 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,T K Samrat Hosiery Mills(61T-0045) : ST00074,H WMS,MB,NA,NA,F/S,OLD AGE,,,,1145,653.2,M183228,2013-10-24 14:29:00,2014-01-20 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Maheshwari Traders (Kolkata) Pvt. Ltd. (0114) : SM00072,H WLS,MB,CARDIGAN,NA,F/S,OLD AGE,,,,750,456,M184072,2013-10-30 17:20:00,2013-11-06 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H CAP,BORGOFORTE,KIDS,NA,NA,OLD AGE,,,,110,70,M184081,2013-10-31 10:22:00,2013-11-02 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Ashoka Hosiery Pvt. Ltd. (5007) : SA00061,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,2095,1235,M184747,2013-11-11 10:58:00,2014-01-20 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Ashoka Hosiery Pvt. Ltd. (5007) : SA00061,H WMJ,MB,CARGO,NA,S LESS,OLD AGE,,,,1495,855,M184748,2013-11-11 10:59:00,2013-12-30 00:00:00
Winter Garments,Winterwear Boys,Jackets [WB],Boys,Dua Garments. (5014) : SD00016,H WBJ,DUA,,NA,"20-24""",OLD AGE,,,,595,331.2,M184928,2013-11-12 17:20:00,2014-01-20 00:00:00
Winter Garments,Winterwear Boys,Jackets [WB],Boys,Dua Garments. (5014) : SD00016,H WBJ,DUA,,NA,"20-24""",OLD AGE,,,,595,336,M184731,2013-11-09 16:37:00,2014-01-29 00:00:00
Winter Garments,Winterwear Boys,Jackets [WB],Boys,Dua Garments. (5014) : SD00016,H WBJ,DUA,,NA,"26-30""",OLD AGE,,,,625,357.2,M184734,2013-11-09 16:40:00,2013-11-26 00:00:00
Winter Garments,Winterwear Mens,Track Suits [WM],Sports,Midas Knits (P) Ltd. (5028) : SM00106,H WMT,MB,,NA,NA,OLD AGE,,,,945,589.8,M184735,2013-11-09 16:56:00,2014-01-20 00:00:00
Winter Garments,Winterwear Boys,Pullovers [WB],Boys,Bhavana Enterprises. (0313) : SB00141,H WBP,KIDDLERS,,NA,"16-20""",OLD AGE,,,,110,70,M395983,2015-11-02 12:09:57,2015-11-23 00:00:00
Winter Garments,Winterwear Boys,Pullovers [WB],Boys,Paradise Overseas(11P-0053) : SP00089,H WBP,MB,,NA,NA,OLD AGE,,,,295,185,M184906,2013-11-12 16:58:00,2014-02-14 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Paradise Overseas(11P-0053) : SP00089,H WLT,MB,,NA,FREE,OLD AGE,,,,425,250,M184907,2013-11-12 16:58:00,2014-02-14 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,New Weston Garments(33N-0047) : SN00071,H WMJ,MB,WASH COAT,NA,S LESS,OLD AGE,,,,245,150,M184760,2013-11-11 11:39:00,2014-01-29 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Indra Hosiery Mills. (5147) : SI00013,H WGJ,MB,,NA,"F 32-36""",OLD AGE,,,,1195,703,M182164,2013-10-09 11:31:00,2013-10-10 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Indra Hosiery Mills. (5147) : SI00013,H WGJ,MB,,NA,"F 26-30""",OLD AGE,,,,1125,665,M182167,2013-10-09 11:31:00,2013-10-10 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1825,925,M184484,2013-11-07 11:10:00,2013-11-08 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Gaudy Knitwears(61G-0052) : SG00080,H WLS,MB,CARDIGAN,NA,F/S,OLD AGE,,,,795,495,M184488,2013-11-07 11:51:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Gaudy Knitwears(61G-0052) : SG00080,H WLS,MB,CARDIGAN,NA,F/S,OLD AGE,,,,795,490,M184492,2013-11-07 11:52:00,2013-11-08 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Jupiter Fasteners Industries(33J-0044) : SJ00064,H WMJ,MB,,NA,NA,OLD AGE,,,,1395,650,M188630,2013-12-25 12:34:00,2013-12-31 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Munshi Ram Hosiery(61M-0061) : SM00096,H WMS,MB,COLLAR,NA,F/S,OLD AGE,,,,895,515,M185420,2013-11-16 11:41:00,2013-12-10 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Munshi Ram Hosiery(61M-0061) : SM00096,H WMS,MB,V NECK,NA,F/S,OLD AGE,,,,625,360,M185424,2013-11-16 11:42:00,2013-12-10 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Munshi Ram Hosiery(61M-0061) : SM00096,H WMS,MB,NA,NA,H/S,OLD AGE,,,,895,450,M185429,2013-11-16 11:43:00,2013-11-18 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Munshi Ram Hosiery(61M-0061) : SM00096,H WMS,MB,ROUND NECK,NA,F/S,OLD AGE,,,,625,360,M185430,2013-11-16 11:44:00,2014-01-30 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Paradise Overseas(11P-0053) : SP00089,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,395,195,M186297,2013-11-23 15:29:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Montu Shallu Knitwears. (5156) : SM00088,H WMP,MB,R NECK,NA,F FREE,OLD AGE,,,,645,390,M186300,2013-11-23 15:44:00,2013-11-23 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,99,66,M182493,2013-10-17 12:12:00,2014-01-29 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,135,86,M182496,2013-10-17 12:13:00,2013-10-21 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,85,49,M182498,2013-10-17 12:13:00,2013-10-21 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,99,66,M182501,2013-10-17 12:14:00,2013-10-21 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,99,66,M182503,2013-10-17 12:14:00,2013-10-21 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,135,84,M182511,2013-10-17 12:15:00,2013-10-21 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,99,66,M182514,2013-10-17 12:15:00,2013-10-21 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,125,79,M182517,2013-10-17 12:15:00,2013-10-21 00:00:00
Winter Garments,Winterwear Boys,Jackets [WB],Boys,Dua Garments. (5014) : SD00016,H WBJ,DUA,,NA,"32-36""",OLD AGE,,,,695,400,M184932,2013-11-12 17:21:00,2014-01-29 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Gold Medal Knitwears. (5090) : SG00055,H WMS,MB,NA,NA,F/S,OLD AGE,,,,645,365,M184937,2013-11-12 17:33:00,2014-02-22 00:00:00
Winter Garments,Winterwear Ladies,Pullovers [WL],Western,Bhaskar Textile. (0029) : SB00004,H WLP,MB,HOOD,NA,F/S,OLD AGE,,,,345,220,M183781,2013-10-29 11:53:00,2014-01-29 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Maheshwari Traders (Kolkata) Pvt. Ltd. (0114) : SM00072,H WMS,MB,NA,NA,F/S,OLD AGE,,,,1195,695,M183821,2013-10-29 13:54:00,2014-01-15 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Maheshwari Traders (Kolkata) Pvt. Ltd. (0114) : SM00072,H WMS,MB,V NECK,NA,F/S,OLD AGE,,,,945,522.5,M183823,2013-10-29 13:54:00,2013-10-30 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Maheshwari Traders (Kolkata) Pvt. Ltd. (0114) : SM00072,H WMS,MB,NA,NA,F/S,OLD AGE,,,,1025,565.25,M183824,2013-10-29 13:54:00,2013-10-30 00:00:00
Winter Garments,Winterwear Girls,Sweaters [WG],Girls,Gold Medal Knitwears. (5090) : SG00055,H WGS,MB,,NA,"30-34""",OLD AGE,,,,795,456,M184693,2013-11-09 11:34:00,2013-11-09 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Jorden -4U. (5097) : SJ00087,H WMS,MB,ROUND NECK,NA,F/S,OLD AGE,,,,745,425,M184008,2013-10-30 11:46:00,2013-10-31 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Jorden -4U. (5097) : SJ00087,H WMS,MB,ROUND NECK,NA,F/S,OLD AGE,,,,675,385,M184011,2013-10-30 11:48:00,2013-10-31 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Pushkar Knit. (5158) : SP00098,H WLS,MB,CARDIGAN,NA,F/S,OLD AGE,,,,1350,820,M184767,2013-11-11 11:49:00,2013-11-11 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,K L Jagdish Chander Jain(61K-0098) : SK00127,H WLS,OSWAL,CARDIGAN,NA,F/S,OLD AGE,,,,850,523,M184770,2013-11-11 12:02:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,K L Jagdish Chander Jain(61K-0098) : SK00127,H WLS,OSWAL,CARDIGAN,NA,F/S,OLD AGE,,,,1250,827,M184772,2013-11-11 12:02:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,K L Jagdish Chander Jain(61K-0098) : SK00127,H WLS,OSWAL,CARDIGAN,NA,F/S,OLD AGE,,,,950,570,M184775,2013-11-11 12:03:00,2014-01-30 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,K L Jagdish Chander Jain(61K-0098) : SK00127,H WLS,OSWAL,CARDIGAN,NA,F/S,OLD AGE,,,,1450,894,M184777,2013-11-11 12:03:00,2014-01-30 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Shree Krishna Trading Co. (0270) : SS00189,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1245,713,M184785,2013-11-11 15:22:00,2013-12-10 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Shree Krishna Trading Co. (0270) : SS00189,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1495,924,M184789,2013-11-11 15:24:00,2013-12-17 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,Aay Jay Knitwears (5135)xxxxx : SA00170,H WBS,SEVEN SEAS,,NA,"20""",OLD AGE,,,,495,290,M182201,2013-10-09 12:41:00,2013-10-10 00:00:00
Winter Garments,Winterwear Boys,Pullovers [WB],Boys,Aay Jay Knitwears (5135)xxxxx : SA00170,H WBP,SEVEN SEAS,,NA,"24-28""",OLD AGE,,,,475,285,M182204,2013-10-09 12:43:00,2013-10-10 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Gold Medal Knitwears. (5090) : SG00055,H WMS,MB,V NECK,NA,H/S,OLD AGE,,,,295,180,M184944,2013-11-12 17:36:00,2013-12-10 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Gold Medal Knitwears. (5090) : SG00055,H WMS,MB,NA,NA,H/S,OLD AGE,,,,345,200,M184945,2013-11-12 17:37:00,2013-12-10 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Gold Medal Knitwears. (5090) : SG00055,H WMS,MB,V NECK,NA,H/S,OLD AGE,,,,295,170,M184948,2013-11-12 17:38:00,2013-12-10 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Gold Medal Knitwears. (5090) : SG00055,H WMS,MB,V NECK,NA,H/S,OLD AGE,,,,345,190,M184953,2013-11-12 17:46:00,2013-12-10 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Indra Hosiery Mills. (5147) : SI00013,H WGJ,MB,,NA,"F 32-36""",OLD AGE,,,,1195,694,M182170,2013-10-09 11:32:00,2014-02-14 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Indra Hosiery Mills. (5147) : SI00013,H WGJ,MB,,NA,"F 26-30""",OLD AGE,,,,995,617.5,M182175,2013-10-09 11:34:00,2013-10-10 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Indra Hosiery Mills. (5147) : SI00013,H WGJ,MB,,NA,"F 32-36""",OLD AGE,,,,1295,755.25,M182178,2013-10-09 11:34:00,2013-10-10 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Indra Hosiery Mills. (5147) : SI00013,H WGJ,MB,,NA,"F 26-30""",OLD AGE,,,,1175,694,M182179,2013-10-09 11:35:00,2014-02-14 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,J. S. Marjara Knitwears. (5146) : SJ00057,H WBS,KID BAY,,NA,"F 0""",OLD AGE,,,,395,225,M182181,2013-10-09 12:17:00,2013-10-10 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,T K Samrat Hosiery Mills(61T-0045) : ST00074,H WMS,MB,COLLAR,NA,F/S,OLD AGE,,,,895,515,M183774,2013-10-29 11:25:00,2014-01-30 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Gold Medal Knitwears. (5090) : SG00055,H WMS,MB,V NECK,NA,F/S,OLD AGE,,,,445,270,M184942,2013-11-12 17:35:00,2013-12-10 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,285,168,M182767,2013-10-19 14:28:00,2014-01-30 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,199,117.92,M182770,2013-10-19 14:28:00,2013-12-30 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,175,105.6,M182772,2013-10-19 14:29:00,2013-12-30 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,495,290.4,M182775,2013-10-19 14:29:00,2014-01-20 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Shree Niwas Textiles Private Limited. (0192) : SS00011,H WGJ,SPEED,COLOR,DENIM,NA,OLD AGE,,,,150,115,M185247,2013-11-14 16:21:00,2014-02-14 00:00:00
Winter Garments,Winterwear Boys,Payjama [WB],Boys,Midas Apparels. (5027) : SM00094,H WBPY,MB,,NA,"24-28""",OLD AGE,,,,325,232,M185256,2013-11-15 10:14:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WLS,ATAM,CARDIGAN,NA,F/S,OLD AGE,,,,1095,650,M186854,2013-11-29 14:05:00,2013-11-30 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WLS,ATAM,CARDIGAN,NA,F/S,OLD AGE,,,,1095,610,M186856,2013-11-29 14:06:00,2013-11-30 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WLS,ATAM,CARDIGAN,NA,F/S,OLD AGE,,,,1150,690,M186859,2013-11-29 14:06:00,2014-01-29 00:00:00
Winter Garments,Winterwear Girls,Pullovers [WG],Girls,Vijay Vallabh Enterprises. (5098) : SV00033,H WGP,MISS 15,HOOD,NA,"F 30-34""",OLD AGE,,,,575,345,M186862,2013-11-29 14:21:00,2014-02-14 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Shree Niwas Textiles Private Limited. (0192) : SS00011,H CAP,MB,MENS,NA,NA,OLD AGE,,,,89,68,M186866,2013-11-29 15:28:00,2013-11-29 00:00:00
Winter Garments,Winterwear Boys,Pullovers [WB],Boys,Sri Ram Dev Industries. (5038) : SS00130,H WBP,ACCEPT,,NA,"30-34""",OLD AGE,,,,795,492.8,M187472,2013-12-07 17:49:00,2013-12-07 00:00:00
Winter Garments,Winterwear Boys,Pullovers [WB],Boys,Sri Ram Dev Industries. (5038) : SS00130,H WBP,ACCEPT,,NA,"24-28""",OLD AGE,,,,395,233.2,M187476,2013-12-07 17:51:00,2013-12-07 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,135,83,M182520,2013-10-17 12:16:00,2013-10-21 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,85,48,M182521,2013-10-17 12:16:00,2014-01-15 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,125,74,M182522,2013-10-17 12:16:00,2014-01-15 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,135,86,M182524,2013-10-17 12:16:00,2014-03-05 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,125,78,M182527,2013-10-17 12:16:00,2013-10-21 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,125,74,M182531,2013-10-17 12:17:00,2013-10-21 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,125,71,M182534,2013-10-17 12:17:00,2014-02-14 00:00:00
