Division,Section,Department,GRP_REM,PARTYNAME,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,DESC1,DESC2,DESC3,MRP,RATE,ICODE,GENERATED,STOCKINDATE
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Tudor International. (5042) : ST00042,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,645,381.8,M185275,2013-11-15 12:55:00,2013-11-29 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Emmay Knitwears. (5015) : SE00018,H WMP,MB,R NECK,NA,F FREE,OLD AGE,,,,545,320,M185277,2013-11-15 13:03:00,2014-01-30 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Dua Garments. (5014) : SD00016,H WGJ,MB,,NA,"24-28""",OLD AGE,,,,850,496.8,M186190,2013-11-21 13:53:00,2013-11-21 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Dua Garments. (5014) : SD00016,H WGJ,MB,,NA,"24-28""",OLD AGE,,,,895,515.2,M186193,2013-11-21 13:54:00,2013-12-06 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Shree Niwas Textiles Private Limited. (0192) : SS00011,H WLS,MB,CARDIGAN,NA,F/S,OLD AGE,,,,595,473,M186198,2013-11-21 15:28:00,2013-12-21 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Shree Niwas Textiles Private Limited. (0192) : SS00011,H WLT,KARAN,,LT,F/S,OLD AGE,,,,150,108,M187501,2013-12-09 11:49:00,2013-12-09 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Shree Niwas Textiles Private Limited. (0192) : SS00011,H WLS,MB,BLOUSE,NA,FREE,OLD AGE,,,,295,182,M187502,2013-12-09 11:49:00,2013-12-09 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Jiwan Dass & Grand Sons(33J-0007) : SJ00001,H WMP,MB,R NECK,NA,F FREE,OLD AGE,,,,695,410,M16948,2009-12-17 11:50:00,2009-12-17 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,KIDS,NA,NA,OLD AGE,,,,99,51,M182561,2013-10-17 12:19:00,2014-01-15 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Goyam Knitwears Pvt Ltd. (5102) : SG00045,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,560,330,M182575,2013-10-17 17:04:00,2013-10-18 00:00:00
Winter Garments,Winterwear Boys,Jackets [WB],Boys,J. D. India Corporation. (0081) : SJ00004,H WBJ,JD,,NA,"32-36""",OLD AGE,,,,695,409,M183332,2013-10-25 10:00:00,2013-10-25 00:00:00
Winter Garments,Winterwear Boys,Jackets [WB],Boys,J. D. India Corporation. (0081) : SJ00004,H WBJ,JD,,NA,"20-24""",OLD AGE,,,,695,431,M183336,2013-10-25 10:06:00,2013-10-25 00:00:00
Winter Garments,Winterwear Boys,Sweaters [WB],Boys,Yonex Wears(61Y-0008) : SY00010,H WBS,MB,,NA,"30-34""",OLD AGE,,,,695,410,M183346,2013-10-25 11:13:00,2013-10-25 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Usha Knit Fab. (5043) : SU00014,H WLS,MB,CASUAL,NA,F/S,OLD AGE,,,,945,640,M183352,2013-10-25 12:55:00,2013-12-21 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Usha Knit Fab. (5043) : SU00014,H WLS,MB,CASUAL,NA,F/S,OLD AGE,,,,995,675,M183353,2013-10-25 12:55:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Usha Knit Fab. (5043) : SU00014,H WLS,MB,CASUAL,NA,F/S,OLD AGE,,,,795,540,M183355,2013-10-25 12:55:00,2013-12-30 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Usha Knit Fab. (5043) : SU00014,H WLS,MB,CASUAL,NA,F/S,OLD AGE,,,,1025,695,M183358,2013-10-25 12:56:00,2013-12-30 00:00:00
